LapNumber,LapDistance,Speed,LateralAcceleration,LongitudinalAcceleration,FRH,RRH,Yaw,Steer,Roll,FlapAngle,BrakeForce,ThrottlePedal,CzF,CzR,Cx,CornerPhase,GPSLatCoord,GPSLongCoord
1,0,0.899089761,-0.038772666,0.039784626,0.282388122,0.163998902,0.006407935,-0.004632711,0.025919002,20,5.72E-05,1,1.457703336,1.422100863,0.877121187,Straight-line,26.03013333,50.51035
1,0.000705239,0.900325419,-0.028730825,0.060125629,0.286900868,0.17213017,-0.006225344,-0.004444478,0.026459451,20,6.66E-05,1,1.459469122,1.423643415,0.877499678,Straight-line,26.03016667,50.51035
1,0.001415303,0.900878006,-0.041004186,0.036494168,0.294853627,0.155447448,-0.018124363,-0.004108046,0.02624169,20,0.000108846,1,1.450800655,1.422294484,0.876919274,Straight-line,26.0302,50.51035
1,0.002120542,0.902761171,-0.052161786,0.067903082,0.298749541,0.150487901,-0.02837738,-0.003635997,0.025949644,20,-2.57E-05,1,1.44754497,1.42186801,0.876765418,Straight-line,26.03023333,50.51035
1,0.002837382,0.903330699,-0.041841008,0.051450795,0.297099876,0.149693527,-0.034042219,-0.00309151,0.025942933,20,-6.07E-05,1,1.447524787,1.421485241,0.876747103,Straight-line,26.03026667,50.51035
1,0.003547633,0.904741069,-0.017294282,0.04995513,0.292076673,0.153055644,-0.032399342,-0.002647895,0.02455996,20,4.99E-05,1,1.450302502,1.421486246,0.87685919,Straight-line,26.0303,50.51035
1,0.004261966,0.906205495,-0.028730825,0.05234819,0.286634665,0.15927717,-0.024002223,-0.002438804,0.020093285,20,-7.24E-05,1,1.454467272,1.421910695,0.877055567,Straight-line,26.03033333,50.51035
1,0.004974351,0.907137896,-0.002231521,0.042177686,0.283185846,0.163765204,-0.012766252,-0.002425773,0.01348882,20,-9.05E-05,1,1.45736743,1.42225737,0.877187222,Straight-line,26.03036667,50.51036667
1,0.005691191,0.908093833,-0.020362623,0.052647319,0.282646623,0.163933016,-0.003305315,-0.002472038,0.006646496,20,-5.20E-05,1,1.457675436,1.422260275,0.877171852,Straight-line,26.0304,50.51036667
1,0.006403576,0.909671932,-0.000836821,0.056236912,0.284154362,0.15699618,0.001454086,-0.002501828,0.001017633,20,8.34E-05,1,1.454666411,1.421543996,0.876905436,Straight-line,26.03045,50.51036667
1,0.007122922,0.910075153,-0.023709904,0.040083754,0.286053909,0.149840968,0.000970326,-0.00250231,-0.00283789,20,-9.65E-05,1,1.451451564,1.420823254,0.876639575,Straight-line,26.03048333,50.51036667
1,0.007837441,0.911348055,-0.034030686,0.054741251,0.28602244,0.142971955,-0.003547647,-0.002424243,-0.005774621,20,1.71E-05,1,1.448885109,1.419926494,0.876382265,Straight-line,26.03051667,50.51036667
1,0.00855428,0.912694023,-0.030125523,0.045169009,0.284433452,0.136331661,-0.00954494,-0.002187171,-0.010092849,20,-4.19E-05,1,1.446812539,1.418846815,0.876120904,Straight-line,26.03055,50.51036667
1,0.009266666,0.913226307,-0.020641563,0.02243494,0.283075271,0.137991865,-0.013583812,-0.001757821,-0.017454033,20,9.07E-06,1,1.447753628,1.418824678,0.876143195,Straight-line,26.03058333,50.51036667
1,0.009983505,0.914226342,-0.002510461,0.042177686,0.283192646,0.134265071,-0.013611778,-0.001251396,-0.026141482,20,-2.58E-05,1,1.446297565,1.418274849,0.875979125,Straight-line,26.03061667,50.51036667
1,0.010705171,0.915187453,0.008089261,0.038588093,0.285813905,0.132943604,-0.010898306,-0.000898121,-0.032070237,20,-9.65E-06,1,1.445057077,1.418347005,0.875932379,Straight-line,26.03065,50.51036667
1,0.01142201,0.915536489,-0.004463041,0.020041879,0.28919557,0.134385396,-0.008759881,-0.000819965,-0.033014555,20,-5.20E-05,1,1.444635868,1.418880712,0.875997582,Straight-line,26.03068333,50.51036667
1,0.012143675,0.916416386,-0.004741981,0.05324559,0.289534146,0.135160437,-0.009766201,-0.000907127,-0.031185611,20,-9.71E-05,1,1.444826423,1.419008419,0.876021849,Straight-line,26.03073333,50.51038333
1,0.012860515,0.91744526,-0.00669456,0.030212383,0.285765843,0.136167446,-0.014127321,-0.000975706,-0.029748508,20,3.99E-05,1,1.446240791,1.418712045,0.876028969,Straight-line,26.03076667,50.51038333
1,0.013582181,0.91739948,-0.00446304,0.026622795,0.280180057,0.137103555,-0.019923006,-0.000947834,-0.028765025,20,-7.96E-05,1,1.448091563,1.418172769,0.876021639,Straight-line,26.0308,50.51038333
1,0.01429902,0.919048835,-0.018688983,0.04486988,0.274556291,0.135258488,-0.024683717,-0.000821915,-0.026610946,20,6.19E-06,1,1.448908168,1.417284682,0.875929611,Straight-line,26.03083333,50.51038333
1,0.015020686,0.919762296,-0.001394701,0.040682021,0.26922598,0.134445957,-0.026597253,-0.000614295,-0.023114343,20,-4.24E-05,1,1.450087977,1.416658815,0.875909092,Straight-line,26.03086667,50.51038333
